2026.01.20 12:12:45 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\Doctor.java
2026.01.20 12:12:45 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/hospital_management_system_old/hospital_management_system/src/main/java/com/mamadou/hospital_management_system/model/Doctor.java. Output:

2026.01.20 12:12:45 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\repository\DoctorRepository.java
2026.01.20 12:12:45 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/hospital_management_system_old/hospital_management_system/src/main/java/com/mamadou/hospital_management_system/repository/DoctorRepository.java. Output:

2026.01.20 12:12:45 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\User.java
2026.01.20 12:12:45 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/hospital_management_system_old/hospital_management_system/src/main/java/com/mamadou/hospital_management_system/model/User.java. Output:

2026.01.20 12:12:45 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\model\User.java
2026.01.20 12:12:45 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\security\SecurityConfig.java
2026.01.20 12:12:45 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/model/User.java. Output:

2026.01.20 12:12:45 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/security/SecurityConfig.java. Output:

2026.01.20 12:12:56 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\controller\UserController.java
2026.01.20 12:12:56 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/Hospital_management_System/hospital_mangement_system/src/main/java/com/group8/hospital_mangement_system/controller/UserController.java. Output:

2026.01.20 12:12:56 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System\hospital_mangement_system\src\main\java\com\group8\hospital_mangement_system\service\UserService.java
